#ID,SiteCode,SiteCommo,PositionX,PositionY,DistanceToContact,ContainingPolygonID,NeighbourPolygonID,ContainingPolygonCode,NeighbourPolygonCode,ContactType,FaultID
0,S0001175,Fe,529319.96939408,7488179.10271197,119.59,7580,9862,A-FOp-bs,A-FOo-bbo,Strat,-1
1,S0001185,Fe,539315.95959969,7505467.297762179,867.64,14341,6148,P_-HAb-cib,P_-HAj-xci-od,Igneous,-1
2,S0001208,Fe,581739.59511644,7422354.28016084,363.40,14314,5842,P_-HAb-cib,P_-WYm-sp,Strat,-1
3,S0001237,Fe,563159.9936313001,7468548.345473499,386.13,8406,7709,A-HAd-kd,A-HAu-xsl-ci,Strat,-1
4,S0001238,Fe,561140.8662275,7468895.406466209,106.34,7876,8406,A-HAm-cib,A-HAd-kd,Strat,-1
5,S0001342,Fe,616668.39204378,7495792.10341714,237.10,4790,4939,A-HAd-kd,A-HAm-cib,Strat,-1
6,S0001365,Fe,628583.17543194,7496214.84390863,58.61,4952,4790,A-HAu-xsl-ci,A-HAd-kd,Strat,-1
7,S0001385,Fe,579671.61326598,7481804.24331535,277.19,4680,4680,A-HAd-kd,A-HAd-kd,Fault,8551
8,S0001386,Fe,579703.76298496,7477974.388934819,1017.32,14311,8371,A-FOu-bbo,A-FO-od,IntrIgn,-1
9,S0001387,Fe,548173.77034579,7487205.38408827,333.43,4684,4684,P_-HAb-cib,P_-HAb-cib,Fault,7439
10,S0001388,Fe,560234.54149545,7493753.95111607,173.18,4684,3597,P_-HAb-cib,A-HAu-xsl-ci,Strat,-1
11,S0001413,Fe,564575.2178138799,7428038.92939725,142.92,15790,5842,A-HAm-cib,P_-WYm-sp,Strat,-1
12,S0001414,Fe,557427.55064541,7431360.77348364,246.53,15646,16174,P_-HAb-cib,P_-SKq-stq,Strat,-1
13,S0001415,Fe,561526.10099515,7430321.532639351,148.70,15646,15588,P_-HAb-cib,P_-HAj-xci-od,Igneous,-1
14,S0001477,Fe,587640.5304976701,7439764.947053141,276.50,14312,4433,A-FOj-xs-b,A-HAm-cib,Strat,-1
15,S0001534,Fe,566900.33621379,7428782.57014247,53.60,15789,15508,P_-HAb-cib,P_-HAj-xci-od,Igneous,-1
16,S0001587,Fe,521925.4711444,7500877.374573209,257.63,15990,14341,A-HAu-xsl-ci,P_-HAb-cib,Strat,-1
17,S0001590,Fe,584134.72617824,7422752.947099939,1277.16,14314,5842,P_-HAb-cib,P_-WYm-sp,Strat,-1
18,S0001599,Fe,547685.16244536,7475955.795709139,1713.74,16190,16938,A-FOh-xs-f,A-FO-xo-a,IntrIgn,-1
19,S0001617,Fe,629322.06325022,7462314.87876044,32.62,4940,4939,A-FOj-xs-b,A-HAm-cib,Strat,-1
20,S0001625,Fe,619081.48917808,7452433.16386516,317.92,4940,4940,A-FOj-xs-b,A-FOj-xs-b,Fault,8390
21,S0001626,Fe,609596.70396538,7444694.1490954,30.99,14312,3998,A-FOj-xs-b,A-FO-od,IntrIgn,-1
22,S0001646,Fe,579194.95077744,7422690.39802528,221.31,15789,5842,P_-HAb-cib,P_-WYm-sp,Strat,-1
23,S0001658,Fe,527191.2794785,7463828.396114609,60.83,14341,16774,P_-HAb-cib,A-FOj-xs-b,Fault,16825
24,S0001840,Sd_Gvl,556491.21952321,7441091.005022489,56.96,16857,16432,A-FOr-b,A-FOh-xs-f,Strat,-1
25,S0002068,Fe,579671.61326598,7481804.24331535,277.19,4680,4680,A-HAd-kd,A-HAd-kd,Fault,8551
26,S0002277,Sd_Gvl,556608.48693477,7439320.57825667,34.02,16857,16432,A-FOr-b,A-FOh-xs-f,Strat,-1
27,S0002560,Sd,538223.66289632,7467549.36232741,32.84,16190,16613,A-FOh-xs-f,A-FOr-b,Strat,-1
