GROUP_,id,x,y,z,code
Milli Milli Inlier metagranitc unit,4942,614877.6507737,7475295.1096186,637.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,615175.06141554,7474981.56839006,637.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,615212.95032903,7474911.06940382,637.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,615294.57007099,7474694.05938532,637.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,615388.87967119,7474477.54732318,637.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,615477.19875289,7474311.54172176,634.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,615610.17991804,7474196.03024539,634.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,615794.81857639,7474233.50101595,634.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,615928.79133864,7474321.47042711,634.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,616132.30062623,7474313.96104712,634.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,616386.42011551,7474248.92138574,673.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,616614.30941697,7474024.89094955,673.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,616784.97031628,7473801.38115388,673.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,616930.84889945,7473717.85074325,673.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,617210.87133754,7473754.32199907,673.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,617497.37092441,7473810.28911114,616.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,617796.41943994,7473827.73841044,616.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,618069.63907667,7473768.71157924,616.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,618285.21995047,7473646.71060739,616.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,618417.68961617,7473423.20166787,616.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,618480.11978196,7473187.20172071,614.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,618510.63965291,7472913.21187144,614.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,618528.39286595,7472633.22099784,614.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,618597.22810441,7472403.75058984,614.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,618723.65989026,7472250.26264704,614.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,619014.93049091,7471987.77826373,627.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,619338.01063894,7471725.31040042,627.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,619667.5496354,7471487.80856396,627.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,619927.22016767,7471276.31894847,627.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,620212.15906501,7471020.3395311,627.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,620357.28881109,7470783.84724791,576.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,620425.89994767,7470497.37150777,576.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,620449.6895536,7470159.88884969,576.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,620766.74089219,7469960.88031009,576.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,620803.9898358,7469782.38781724,576.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,620797.07111963,7469655.40946889,573.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,620662.59900278,7469471.42117671,573.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,620255.33019563,7469416.45997692,577.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,619797.47159264,7469431.50227784,577.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,619282.77950343,7469523.52963098,577.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,618577.49907527,7469661.07805813,574.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,618075.41142335,7469727.60079769,574.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,617401.63111515,7469794.64080308,574.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,616797.85247483,7469874.65950845,574.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,616104.98053784,7469954.69087512,574.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,615596.29001406,7469970.21910516,573.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,615011.09901193,7469960.75035292,573.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,614578.70947503,7469975.76962027,573.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,614184.66925872,7470022.30076894,573.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,613758.86999667,7470082.31810192,573.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,613536.51859333,7470146.83982338,582.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,613219.0782943,7470256.8495207,582.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,612680.60248182,7470692.8805369,582.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,612433.85862219,7470954.88139476,582.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,612162.40883075,7471382.86808079,582.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,611909.53054949,7471702.38054124,612.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,611681.77081773,7471951.88103201,612.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,611384.07799098,7472208.38037449,612.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,611048.34144419,7472470.88044662,612.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,610307.390901,7473117.88876448,612.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,610111.46005795,7473373.38029967,594.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,609985.39037792,7473609.88863053,594.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,609859.01116058,7473782.37828869,594.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,609732.44098334,7473910.39126435,594.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,609643.58154525,7473948.90177066,594.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,609542.00144632,7473981.3912928,593.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,609370.36174834,7474007.38879744,593.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,609357.64048176,7474001.40031814,593.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,608878.51835275,7474108.89937682,593.,Milli_Milli_Inlier_metagranitc_unit
