X,Y,Z,formation
511975.4630899804,7508222.858492537,522.,Brockman_Iron_Formation
514448.85151113,7508573.41882243,542.,Brockman_Iron_Formation
515226.18203928,7508702.92974025,551.,Brockman_Iron_Formation
517364.0103144,7509199.45866394,574.,Brockman_Iron_Formation
523078.55680128426,7501405.148133702,569.,Brockman_Iron_Formation
521225.2012418082,7501026.949760011,609.,Brockman_Iron_Formation
521198.37658663094,7501022.685718564,609.,Brockman_Iron_Formation
519976.91006078,7500799.46789149,641.,Brockman_Iron_Formation
519631.44173262,7500691.46114408,641.,Brockman_Iron_Formation
518847.7619360063,7499937.4448144855,540.,Brockman_Iron_Formation
518902.7778997535,7499692.309142196,540.,Brockman_Iron_Formation
518636.6301317,7499603.94897934,524.,Brockman_Iron_Formation
516752.109792,7498820.42116343,625.,Brockman_Iron_Formation
542867.5277404693,7509272.83168071,822.,Brockman_Iron_Formation
542145.9084492,7508332.65926824,732.,Brockman_Iron_Formation
541145.7601317,7505676.14855006,709.,Brockman_Iron_Formation
538364.25997959,7504113.66011445,859.,Brockman_Iron_Formation
536989.17997103,7504051.15213942,737.,Brockman_Iron_Formation
535926.55161838,7503894.65193591,773.,Brockman_Iron_Formation
534488.93889665,7502207.12011758,580.,Brockman_Iron_Formation
532415.328859181,7501872.491963996,653.,Brockman_Iron_Formation
532120.3903023152,7502161.713867484,653.,Brockman_Iron_Formation
531832.36921709,7502050.60151443,653.,Brockman_Iron_Formation
528269.54911085,7501675.54946632,567.,Brockman_Iron_Formation
515930.06856469373,7499036.925501813,560.,Brockman_Iron_Formation
515699.65068941,7498844.91902979,630.,Brockman_Iron_Formation
514965.43827583,7498453.41030448,721.,Brockman_Iron_Formation
514221.5147028361,7498434.5806889795,721.,Brockman_Iron_Formation
513301.14005878,7498061.88151296,624.,Brockman_Iron_Formation
512649.99130055675,7497966.294841972,641.,Brockman_Iron_Formation
512631.3185826908,7497958.796085573,641.,Brockman_Iron_Formation
512077.39835,7497645.87980624,619.,Brockman_Iron_Formation
531899.2712418102,7461331.959531104,401.,Marra_Mamba_Iron_Formation
530570.4746010794,7460806.707174315,402.,Marra_Mamba_Iron_Formation
512340.63212139,7495887.86019937,562.,Marra_Mamba_Iron_Formation
511975.4630899804,7495718.021266788,562.,Marra_Mamba_Iron_Formation
515377.8596993252,7497445.870865514,538.,Marra_Mamba_Iron_Formation
514979.90238546,7497235.89822413,538.,Marra_Mamba_Iron_Formation
514795.08186287,7497160.40068031,538.,Marra_Mamba_Iron_Formation
512863.42013538,7496165.36925071,604.,Marra_Mamba_Iron_Formation
555248.25097484,7433419.35019796,367.,Marra_Mamba_Iron_Formation
556539.92796986,7432814.31053323,373.,Marra_Mamba_Iron_Formation
558024.35141502,7431972.24976986,466.,Marra_Mamba_Iron_Formation
572990.3131505726,7479476.766330716,677.,Marra_Mamba_Iron_Formation
570568.90053278,7478839.50143244,672.,Marra_Mamba_Iron_Formation
569712.98000444,7478054.97016728,706.,Marra_Mamba_Iron_Formation
569724.2684984,7477761.97032191,706.,Marra_Mamba_Iron_Formation
570104.86898339,7476219.44985559,760.,Marra_Mamba_Iron_Formation
570007.8403695426,7476057.620853847,749.,Marra_Mamba_Iron_Formation
573869.7037392969,7472340.738292956,690.,Marra_Mamba_Iron_Formation
573789.61890691,7471432.42195722,679.,Marra_Mamba_Iron_Formation
540537.06019911,7437888.40928756,398.,Marra_Mamba_Iron_Formation
542311.59983117,7437946.40079195,396.,Marra_Mamba_Iron_Formation
542663.5159367803,7437818.076478186,432.,Marra_Mamba_Iron_Formation
542681.798025144,7437809.918942483,432.,Marra_Mamba_Iron_Formation
543263.58896215,7437693.9114608,394.,Marra_Mamba_Iron_Formation
544155.8045314158,7437618.269894783,399.,Marra_Mamba_Iron_Formation
544178.4920223322,7437613.014085764,399.,Marra_Mamba_Iron_Formation
544494.1093151,7437512.40169874,390.,Marra_Mamba_Iron_Formation
546631.36049594,7437382.89088315,466.,Marra_Mamba_Iron_Formation
547790.5283532,7437408.8790948,466.,Marra_Mamba_Iron_Formation
550009.9439225119,7436659.878039108,428.,Marra_Mamba_Iron_Formation
540308.7720090057,7437708.400967093,379.,Marra_Mamba_Iron_Formation
540362.16999829,7437790.90080062,379.,Marra_Mamba_Iron_Formation
580328.6183103635,7480671.6576722255,793.,Marra_Mamba_Iron_Formation
578677.26921372,7480188.96911943,745.,Marra_Mamba_Iron_Formation
577767.86957224,7480194.01126269,704.,Marra_Mamba_Iron_Formation
576585.35958382,7480270.5214894,715.,Marra_Mamba_Iron_Formation
574423.04761748,7480231.53104291,695.,Marra_Mamba_Iron_Formation
573983.90830736,7480170.02977684,677.,Marra_Mamba_Iron_Formation
567041.8974195496,7430854.127730518,402.,Marra_Mamba_Iron_Formation
569112.1321111701,7430550.886169788,577.,Marra_Mamba_Iron_Formation
570220.0628672026,7429799.514180343,435.,Marra_Mamba_Iron_Formation
570911.14246559,7429926.46150719,571.,Marra_Mamba_Iron_Formation
571361.8702599563,7430072.474770294,531.,Marra_Mamba_Iron_Formation
570525.0999759348,7430685.652984353,426.,Marra_Mamba_Iron_Formation
