index,X,Y,Z,formation
0,614877.6507737,7475295.109618599,637.0,Milli_Milli_Inlier_metagranitc_unit
1,615477.19875289,7474311.54172176,634.0,Milli_Milli_Inlier_metagranitc_unit
2,616386.42011551,7474248.92138574,673.0,Milli_Milli_Inlier_metagranitc_unit
3,617497.37092441,7473810.28911114,616.0,Milli_Milli_Inlier_metagranitc_unit
4,618480.11978196,7473187.20172071,614.0,Milli_Milli_Inlier_metagranitc_unit
5,619014.93049091,7471987.77826373,627.0,Milli_Milli_Inlier_metagranitc_unit
6,620357.28881109,7470783.84724791,576.0,Milli_Milli_Inlier_metagranitc_unit
7,620797.07111963,7469655.40946889,573.0,Milli_Milli_Inlier_metagranitc_unit
8,620255.33019563,7469416.45997692,577.0,Milli_Milli_Inlier_metagranitc_unit
9,618577.49907527,7469661.07805813,574.0,Milli_Milli_Inlier_metagranitc_unit
10,615596.29001406,7469970.21910516,573.0,Milli_Milli_Inlier_metagranitc_unit
11,613536.51859333,7470146.83982338,582.0,Milli_Milli_Inlier_metagranitc_unit
12,611909.53054949,7471702.38054124,612.0,Milli_Milli_Inlier_metagranitc_unit
13,610111.46005795,7473373.38029967,594.0,Milli_Milli_Inlier_metagranitc_unit
14,609542.00144632,7473981.391292799,593.0,Milli_Milli_Inlier_metagranitc_unit
15,607633.28926904,7475069.42732488,600.0,Milli_Milli_Inlier_metagranitc_unit
16,607757.75832847,7476207.9598875,597.0,Milli_Milli_Inlier_metagranitc_unit
17,608113.54170667,7476367.94940903,606.0,Milli_Milli_Inlier_metagranitc_unit
18,609567.06759209,7476590.42045657,606.0,Milli_Milli_Inlier_metagranitc_unit
19,610203.52891355,7476701.90051794,620.0,Milli_Milli_Inlier_metagranitc_unit
20,610778.96923514,7476011.39024771,614.0,Milli_Milli_Inlier_metagranitc_unit
21,611830.34250034,7476450.86239778,800.0,Milli_Milli_Inlier_metagranitc_unit
22,612065.71770099,7476462.3496547,756.0,Milli_Milli_Inlier_metagranitc_unit
23,612865.47866411,7476146.32661326,639.0,Milli_Milli_Inlier_metagranitc_unit
24,611450.61792542,7475498.36936305,606.0,Milli_Milli_Inlier_metagranitc_unit
25,611599.95020183,7474803.86748755,598.0,Milli_Milli_Inlier_metagranitc_unit
26,614088.94981605,7475292.70877214,633.0,Milli_Milli_Inlier_metagranitc_unit
27,614795.07223897,7475314.61887887,637.0,Milli_Milli_Inlier_metagranitc_unit
28,595340.77997391,7475216.88087953,649.0,Milli_Milli_Inlier_metagranitc_unit
29,598761.52957284,7475077.41117856,667.0,Milli_Milli_Inlier_metagranitc_unit
30,601532.96901067,7474813.93985722,620.0,Milli_Milli_Inlier_metagranitc_unit
