Fault,HorizontalRadius,VerticalRadius,InfluenceDistance,colour
Fault_5454,6795.4041975397795,6795.4041975397795,3397.7020987698897,#442082
Fault_6359,10513.47038927317,10513.47038927317,5256.735194636585,#3cfde6
Fault_6807,16444.786809151377,16444.786809151377,8222.393404575689,#f1c26b
Fault_6825,52182.96228343649,52182.96228343649,26091.481141718246,#30f90e
Fault_7344,28567.170545894023,28567.170545894023,14283.585272947012,#c7dd01
Fault_7436,12748.854541391791,12748.854541391791,6374.4272706958955,#e48875
Fault_7439,22029.86870536662,22029.86870536662,11014.93435268331,#34a20f
Fault_7884,4556.734901749274,4556.734901749274,2278.367450874637,#0b0d04
Fault_7966,8469.812826773641,8469.812826773641,4234.9064133868205,#c36ed8
Fault_8551,9247.458453030276,9247.458453030276,4623.729226515138,#0e71e0
Fault_15397,4313.8775224286055,4313.8775224286055,2156.9387612143028,#fd77b0
Fault_15527,3376.7619100040465,3376.7619100040465,1688.3809550020233,#7670eb
Fault_16245,7813.37980594148,7813.37980594148,3906.68990297074,#940bd5
Fault_17127,4738.621235646842,4738.621235646842,2369.310617823421,#335f97
Fault_17128,39902.29866527637,39902.29866527637,19951.149332638186,#3daad8
Fault_148,5246.81648589269,5246.81648589269,2623.408242946345,#619b91
Fault_307,12179.750751361684,12179.750751361684,6089.875375680842,#ffc911
Fault_313,10914.331190651272,10914.331190651272,5457.165595325636,#f57cce
Fault_807,8004.108085871622,8004.108085871622,4002.054042935811,#d458bb
Fault_818,9249.317203360659,9249.317203360659,4624.658601680329,#bf2ce0
Fault_1236,3842.4001392159385,3842.4001392159385,1921.2000696079692,#3753c9
Fault_1831,5565.121488828625,5565.121488828625,2782.5607444143125,#bdfa0f
Fault_2213,5540.228039530792,5540.228039530792,2770.114019765396,#f0169d
Fault_2214,7247.888778356502,7247.888778356502,3623.944389178251,#c95756
Fault_2215,4318.577690371304,4318.577690371304,2159.288845185652,#740666
Fault_2229,3969.6509860462397,3969.6509860462397,1984.8254930231199,#76cfb0
Fault_2235,12685.006835377373,12685.006835377373,6342.503417688687,#b4eb89
Fault_2834,7465.843013673261,7465.843013673261,3732.9215068366307,#02c442
Fault_2835,3248.63190752058,3248.63190752058,1624.31595376029,#69da1c
Fault_2837,7498.8951061002535,7498.8951061002535,3749.4475530501268,#f6ba66
Fault_2840,5990.259997373324,5990.259997373324,2995.129998686662,#d3f8b6
Fault_2843,8577.788759556488,8577.788759556488,4288.894379778244,#d4b100
Fault_2910,5687.204314028653,5687.204314028653,2843.6021570143266,#a9ea0e
Fault_2989,8679.844185685844,8679.844185685844,4339.922092842922,#755a5c
Fault_2996,13360.058391045966,13360.058391045966,6680.029195522983,#2e8210
Fault_2997,9193.775171089808,9193.775171089808,4596.887585544904,#242a08
Fault_3487,28536.35592768697,28536.35592768697,14268.177963843485,#e7078f
Fault_3489,11927.477856037947,11927.477856037947,5963.738928018974,#7f8938
Fault_3494,5796.530455446244,5796.530455446244,2898.265227723122,#5eb094
Fault_3496,13798.770008863541,13798.770008863541,6899.3850044317705,#235551
Fault_3498,9801.101917761947,9801.101917761947,4900.550958880974,#82568b
Fault_5001,4924.107536894627,4924.107536894627,2462.0537684473134,#96e8a4
Fault_5249,6384.482737527486,6384.482737527486,3192.241368763743,#fef23a
Fault_5298,3379.395325320518,3379.395325320518,1689.697662660259,#0c9fc5
Fault_5445,5526.979237334744,5526.979237334744,2763.489618667372,#afd760
Fault_5446,5102.969230644505,5102.969230644505,2551.4846153222525,#843781
Fault_5968,6409.49060093317,6409.49060093317,3204.745300466585,#6bdd0a
Fault_5993,4699.922836087481,4699.922836087481,2349.9614180437407,#7309cb
Fault_6508,12383.5863928287,12383.5863928287,6191.79319641435,#4a1252
Fault_6519,8903.146002556501,8903.146002556501,4451.573001278251,#e4da70
Fault_7099,4216.509623737605,4216.509623737605,2108.2548118688023,#e6720f
Fault_7105,4086.000829330107,4086.000829330107,2043.0004146650535,#caa4da
Fault_7580,7676.986746046443,7676.986746046443,3838.4933730232215,#1e9840
Fault_7805,4163.747090389754,4163.747090389754,2081.873545194877,#6c189c
Fault_8174,15937.44322771164,15937.44322771164,7968.72161385582,#24279e
Fault_8390,23574.06324067755,23574.06324067755,11787.031620338776,#9851d5
Fault_8749,3852.447377489539,3852.447377489539,1926.2236887447696,#814204
Fault_8752,6526.268983103673,6526.268983103673,3263.1344915518366,#136feb
Fault_8909,6841.540355944455,6841.540355944455,3420.7701779722274,#5713c1
Fault_9173,3641.2260128882185,3641.2260128882185,1820.6130064441093,#66b132
Fault_9401,11568.503522520688,11568.503522520688,5784.251761260344,#69dd63
Fault_10762,5777.091580778273,5777.091580778273,2888.5457903891365,#fc35c7
Fault_11396,3691.8993173969084,3691.8993173969084,1845.9496586984542,#97ff08
Fault_11442,6311.282397440586,6311.282397440586,3155.641198720293,#a6cd90
Fault_12605,4074.7036245101363,4074.7036245101363,2037.3518122550681,#095066
Fault_12611,27236.76675933064,27236.76675933064,13618.38337966532,#a745ad
Fault_12618,3853.703242696436,3853.703242696436,1926.851621348218,#db6d88
Fault_12627,4280.981986775966,4280.981986775966,2140.490993387983,#31c2b0
Fault_12642,8595.757408539392,8595.757408539392,4297.878704269696,#f87821
Fault_12644,13857.702012040278,13857.702012040278,6928.851006020139,#142b44
Fault_12647,11865.977304425049,11865.977304425049,5932.988652212524,#56556d
Fault_12658,7013.420872263333,7013.420872263333,3506.7104361316665,#89aa82
Fault_14081,5183.330765942809,5183.330765942809,2591.6653829714046,#bcadae
Fault_14378,9344.12613420959,9344.12613420959,4672.063067104795,#3a9578
Fault_14775,7111.083635385035,7111.083635385035,3555.5418176925177,#fa4535
Fault_15340,5622.248116832078,5622.248116832078,2811.124058416039,#a414d0
Fault_15497,3519.7052688197687,3519.7052688197687,1759.8526344098843,#25c24b
Fault_15510,20959.546356742594,20959.546356742594,10479.773178371297,#40ae3a
Fault_15531,10742.392391254341,10742.392391254341,5371.196195627171,#c12772
Fault_16397,8171.127483330839,8171.127483330839,4085.5637416654195,#2988ba
Fault_16398,16203.116375314865,16203.116375314865,8101.558187657432,#973aea
Fault_16437,9910.201280095102,9910.201280095102,4955.100640047551,#8d3717
Fault_16480,6911.765013279279,6911.765013279279,3455.8825066396394,#970607
Fault_16502,6775.538315501012,6775.538315501012,3387.769157750506,#2ed33a
Fault_16744,25435.390620971084,25435.390620971084,12717.695310485542,#14607a
Fault_16754,5020.635130353366,5020.635130353366,2510.317565176683,#d7523b
Fault_16814,13023.0736007612,13023.0736007612,6511.5368003806,#e6557b
Fault_16825,13465.876980569821,13465.876980569821,6732.938490284911,#5134de
Fault_16896,29100.740560128743,29100.740560128743,14550.370280064371,#c19681
Fault_17031,4091.7384189026284,4091.7384189026284,2045.8692094513142,#f4a133
