X,Y,fname,apparent_displacement,vertical_displacement,downthrow_dir
607958.7778974422,7448705.610072681,Fault_5454,315,62,198.63749875743898
614632.5022140911,7446142.166634622,Fault_5454,218,119,198.63749875743898
569429.87897882,7496657.247463796,Fault_6825,218,67,205.239631114757
569429.87897882,7496657.247463796,Fault_6825,-69139,17096,25.23963111475699
581922.3355656147,7486600.281536511,Fault_6825,-5273,1280,205.239631114757
592100.7582768147,7482501.163139502,Fault_6825,-147,32,205.239631114757
594284.807364478,7480979.116316806,Fault_6825,-91,56,205.239631114757
594666.894494516,7480471.826308967,Fault_6825,-108,70,205.239631114757
595954.0436076351,7479820.781658017,Fault_6825,-243,102,205.239631114757
598398.0693398283,7479281.227523733,Fault_6825,-147,105,205.239631114757
603995.7788789918,7476437.898209715,Fault_6825,-515,35,205.239631114757
613770.6516884002,7466476.7948266845,Fault_6825,-908,205,25.23963111475699
615686.9667092881,7465767.482063693,Fault_6825,-2387,210,25.23963111475699
616425.8001395444,7465514.5289423615,Fault_6825,-2255,67,25.23963111475699
623008.6753277498,7464353.681519852,Fault_6825,-1438,876,25.23963111475699
544712.8665094977,7458744.666991791,Fault_7344,-316,191,217.53995264726115
544712.8665094977,7458744.666991791,Fault_7344,-29685,9554,217.53995264726115
539111.6530714628,7463133.5958376555,Fault_7344,859,27,37.539952647261146
531523.520242499,7465410.023697257,Fault_7344,3922,82,217.53995264726115
537046.7646021981,7490731.203805591,Fault_7439,331,142,202.13533612256904
514582.89598453004,7471083.904362815,Fault_7966,7974,448,34.53006630707568
578446.0419353651,7482174.1560053015,Fault_8551,-441,224,221.44798711891846
577869.4651168875,7482545.336629065,Fault_8551,-2593,1522,221.44798711891846
573821.103075042,7488665.775735851,Fault_8551,171,112,41.44798711891846
543301.5335799536,7439836.297659693,Fault_15397,-1270,179,36.005102038092964
573113.0812441326,7422703.848929766,Fault_17128,-14371,2076,29.41205082050561
624875.7368329176,7476769.670036884,Fault_148,-497,63,273.8837141901936
544588.5687445743,7445198.808403944,Fault_807,2566,585,198.11650002458794
625707.3363680971,7482687.4036771385,Fault_818,179,19,158.16315790973596
624242.7381620676,7482346.929161464,Fault_818,319,11,158.16315790973596
621256.6470556237,7481458.967889157,Fault_818,-1764,117,338.16315790973596
614506.7451634409,7479293.588939594,Fault_818,1362,963,158.16315790973596
570118.6472761286,7495509.290692732,Fault_1236,251,97,224.2099368550173
570623.5477183124,7494797.147565781,Fault_1236,-1058,369,44.2099368550173
571360.617260428,7494002.252094696,Fault_1236,35,3,224.2099368550173
565599.2361837893,7431255.319212084,Fault_2213,293,111,229.92211202203757
562343.3770987089,7434807.205662791,Fault_2213,900,456,229.92211202203757
561746.0281931966,7435582.523606877,Fault_2213,9,7,229.92211202203757
523227.1550957014,7485691.224954087,Fault_2235,533,131,52.52090791805118
522226.3303362894,7487633.670796064,Fault_2235,656,159,52.52090791805118
521166.34065112233,7489218.227346819,Fault_2235,10,0,52.52090791805118
