X,Y,Z,DipDirection,dip,DipPolarity,formation
613553.81944768,7446555.47993677,514.,18.637498757438966,90,1,Fault_5454
517256.19923509,7427833.62401022,275.,33.087311276624035,90,1,Fault_6359
524292.18576832,7440583.40749763,332.,22.49059682960214,90,1,Fault_6807
608212.59258659,7471238.8754268,640.,25.23963111475699,90,1,Fault_6825
536165.54303258,7464399.27606229,547.,37.539952647261146,90,1,Fault_7344
538468.26221117,7480515.58826357,390.,4.4277533573220165,90,1,Fault_7436
542571.51239981,7488831.16066893,651.,22.135336122569043,90,1,Fault_7439
640431.63239223,7428828.08113588,528.,18.781939270388303,90,1,Fault_7884
519200.3577101,7468781.53989683,462.,34.530066307075685,90,1,Fault_7966
575932.97893011,7484494.61361314,725.,41.44798711891846,90,1,Fault_8551
544326.50813069,7439053.8908047,389.,36.00510203809296,90,1,Fault_15397
513734.60350634,7463014.18980671,322.,85.54711249045577,90,1,Fault_15527
543735.71773547,7455083.95000591,527.,66.0914855638588,90,1,Fault_16245
518040.43642246,7457426.80217587,306.,18.198915422300924,90,1,Fault_17127
552982.14887711,7432679.34587968,367.,29.412050820505613,90,1,Fault_17128
624503.29223303,7480053.80986146,918.,93.88371419019357,90,1,Fault_148
566723.28087973,7435433.86997358,381.,4.996481533214605,90,1,Fault_307
529902.48198721,7464605.40200393,417.,12.835156603029045,90,1,Fault_313
546188.62876875,7444714.9100007,419.,18.116500024587936,90,1,Fault_807
624305.90194037,7482368.91067544,681.,158.16315790973596,90,1,Fault_818
570849.28487416,7494548.57317934,636.,44.2099368550173,90,1,Fault_1236
539431.72501272,7444088.94325265,483.,42.20946795202614,90,1,Fault_1831
563671.87718028,7433304.26666283,502.,49.92211202203757,90,1,Fault_2213
547179.71039046,7444568.87904873,451.,69.83269830113737,90,1,Fault_2214
545309.72127688,7443379.90050888,425.,37.08482089543597,90,1,Fault_2215
515670.5044444,7476711.91367855,394.,67.66166258633444,90,1,Fault_2229
518184.84046494,7494525.92007636,422.,52.520907918051165,90,1,Fault_2235
551605.02082916,7442768.79218907,463.,77.16506233955877,90,1,Fault_2834
565317.05846047,7433799.32037664,390.,59.288383536715315,90,1,Fault_2835
531561.20931701,7461719.40915562,438.,44.50019196782959,90,1,Fault_2837
575935.58978929,7481661.53100116,640.,31.278022685480597,90,1,Fault_2840
516084.35138976,7498918.92114254,490.,54.358946406654134,90,1,Fault_2843
566954.29955495,7430220.86930833,390.,89.86184404293738,90,1,Fault_2910
542821.47063177,7451857.99794682,547.,11.565743296023129,90,1,Fault_2989
582253.99027346,7480755.38868292,654.,173.04101931827302,90,1,Fault_2996
541963.19163038,7493283.13978594,772.,39.104864742265704,90,1,Fault_2997
533737.40828303,7429465.88262976,331.,20.814029253792285,90,1,Fault_3487
546245.22606685,7437147.01606545,382.,11.553102438022677,90,1,Fault_3489
615866.88800446,7466722.88361037,574.,178.75233499556725,90,1,Fault_3494
526241.48968922,7494361.51259949,434.,55.701468332421726,90,1,Fault_3496
532914.74969844,7501129.60123437,591.,53.457483213438536,90,1,Fault_3498
533227.72113686,7465777.29916842,465.,4.9727560779560065,90,1,Fault_5001
606698.29090465,7476689.98226057,744.,172.1104149544027,90,1,Fault_5249
514544.88909549,7494042.89041199,600.,35.34528123912275,90,1,Fault_5298
591731.42050802,7424043.97036069,663.,37.2077172353767,90,1,Fault_5445
579378.92646667,7425768.44382814,452.,48.8619258557749,90,1,Fault_5446
578141.96990214,7425912.9305667,454.,51.91756676590469,90,1,Fault_5968
543048.60760173,7490190.6702777,629.,52.150967032987964,90,1,Fault_5993
573245.89130232,7429618.97914283,387.,45.754974495516656,90,1,Fault_6508
570002.34180769,7476048.45008721,665.,43.05421721694155,90,1,Fault_6519
520303.71612472,7485450.93468321,577.,49.55815569578525,90,1,Fault_7099
589783.87373143,7423714.94625988,743.,50.747419697039696,90,1,Fault_7105
598669.13209748,7428405.94126972,463.,164.39059512376986,90,1,Fault_7580
596290.41827952,7465679.99994548,633.,111.19009399733912,90,1,Fault_7805
626744.27130524,7456788.05067779,537.,2.199220580731865,90,1,Fault_8174
616877.39366794,7452094.19745912,602.,177.06385990914495,90,1,Fault_8390
560165.69129318,7448803.29219394,417.,70.85596998964472,90,1,Fault_8749
522941.78054269,7453336.35079579,355.,50.28123046519669,90,1,Fault_8752
