X,Y,Z,formation
606648.0502574174,7449052.505894363,514.,Bunjinah_Formation
614736.7520348531,7446099.174363136,694.,Marra_Mamba_Iron_Formation
606645.4941262547,7449042.838102812,514.,Bunjinah_Formation
614426.2936994355,7446213.599905897,547.,Marra_Mamba_Iron_Formation
525977.3248247529,7421282.436836502,275.,Ashburton_Formation
525983.8421449758,7421290.021329703,275.,Ashburton_Formation
536148.2613447189,7437077.538742256,332.,Duck_Creek_Dolomite
536150.4761254772,7437087.290395767,332.,Duck_Creek_Dolomite
568803.3702631441,7497166.994407073,640.,Jeerinah_Formation
569459.438802576,7496633.15138217,636.,Marra_Mamba_Iron_Formation
598414.6786175894,7479275.728627491,622.,Milli_Milli_Inlier_greenstones
568797.0573293178,7497159.238965983,640.,Jeerinah_Formation
569289.132474067,7496758.7392426375,636.,Marra_Mamba_Iron_Formation
598771.0300055926,7479146.950356415,623.,Milli_Milli_Inlier_greenstones
548207.860356799,7450988.230959277,547.,Boongal_Formation
548075.211841065,7451367.214313503,547.,Hardey_Formation
524699.2827292278,7480174.155008053,390.,Rocklea_Inlier_greenstones
544996.665159834,7478589.636691808,462.,Hardey_Formation
524702.9338686303,7480164.845379647,390.,Rocklea_Inlier_metagranitic_unit
560066.0032042376,7479755.194099805,651.,Wittenoom_Formation
540903.9164328858,7489647.384892044,540.,Jeerinah_Formation
560071.9500440945,7479763.233695299,651.,Wittenoom_Formation
540906.1207239783,7489657.13892202,540.,Jeerinah_Formation
637519.9377471678,7429827.253778374,526.,Turee_Creek_Group
637516.9958834542,7429817.696297644,526.,Turee_Creek_Group
523080.27471828554,7465475.144068085,520.,Jeerinah_Formation
523087.6291453325,7465481.91993724,462.,Jeerinah_Formation
581028.8519751611,7480847.380927666,725.,Marra_Mamba_Iron_Formation
581031.7189878968,7480856.961127975,725.,Wittenoom_Formation
540145.8836618288,7441626.692081171,389.,Bunjinah_Formation
540140.5628730172,7441618.22513329,389.,Bunjinah_Formation
512910.01067917235,7465105.994762016,322.,Boolgeeda_Iron_Formation
514145.91801970423,7461373.861305798,386.,Turee_Creek_Group
512901.41039352363,7465100.892303122,322.,Kungarra_Formation
513358.5756414267,7464330.314007558,326.,Boolgeeda_Iron_Formation
544174.7085766429,7453333.567121493,532.,Bunjinah_Formation
544235.1604346137,7451728.042001643,527.,Boongal_Formation
512060.78976203274,7458335.013182197,306.,Duck_Creek_Dolomite
517377.88329266367,7457542.47826953,386.,Beasley_River_Quartzite
518474.52348691295,7457241.16433553,334.,Bunjinah_Formation
512058.780038594,7458325.21721304,306.,Duck_Creek_Dolomite
574046.279569263,7421232.081677864,367.,Mount_McGrath_Formation
573113.0812441326,7422703.848929766,375.,Beasley_River_Quartzite
571327.8033252698,7424052.095139365,424.,Brockman_Iron_Formation
