X,Y,Z,formation
606538.23457083,7449076.36897596,514.,Fault_5454
612476.86997714,7446988.46051493,513.,Fault_5454
613553.81944768,7446555.47993677,530.,Fault_5454
614417.28863379,7446222.52021326,547.,Fault_5454
615312.94997744,7445856.08896656,694.,Fault_5454
616840.7137738,7445601.69361203,588.,Fault_5454
526069.2266133815,7421210.058449306,275.,Fault_6359
517256.19923509,7427833.62401022,256.,Fault_6359
515819.70509655,7428613.03290473,256.,Fault_6359
511975.4630899804,7430393.220344281,256.,Fault_6359
536285.91837454,7437051.40162196,332.,Fault_6807
524292.18576832,7440583.40749763,353.,Fault_6807
511975.4630899804,7447116.447952973,297.,Fault_6807
568748.86295698,7497204.91630132,640.,Fault_6825
570732.92951344,7495857.47287725,644.,Fault_6825
577096.46988844,7491368.55104552,700.,Fault_6825
582767.23928664,7485704.02128608,792.,Fault_6825
589335.54718534,7482842.44079243,702.,Fault_6825
592919.80160437,7482364.92469938,669.,Fault_6825
594330.96871277,7480899.42876414,654.,Fault_6825
595083.94598135,7480087.44381695,644.,Fault_6825
598171.13842988,7479351.48992983,622.,Fault_6825
601136.00823389,7478272.54238958,627.,Fault_6825
604982.85648984,7475456.95432554,606.,Fault_6825
607675.98287611,7472069.36814194,606.,Fault_6825
608212.59258659,7471238.8754268,598.,Fault_6825
610546.87141315,7468654.85400372,592.,Fault_6825
612841.02141291,7466974.86048495,587.,Fault_6825
614290.23756395,7466266.78503328,572.,Fault_6825
616477.8680626,7465491.34942636,571.,Fault_6825
617979.1010064,7465186.34129407,553.,Fault_6825
622915.01961173,7464379.99066083,579.,Fault_6825
627237.60880046,7463193.98845333,619.,Fault_6825
630194.92137062,7462556.00056152,698.,Fault_6825
633588.51766246,7461935.01922809,662.,Fault_6825
637385.78994324,7461036.27034089,668.,Fault_6825
641894.24023885,7460916.13792662,676.,Fault_6825
644270.745067956,7461603.190258013,690.,Fault_6825
548218.22807501,7450974.94948044,547.,Fault_7344
546579.39038401,7455223.33477157,479.,Fault_7344
544288.02569262,7459384.02654756,432.,Fault_7344
540605.40690458,7462379.64165909,402.,Fault_7344
536165.54303258,7464399.27606229,428.,Fault_7344
530947.31287336,7465956.55558828,465.,Fault_7344
523304.73872146,7469312.95919585,497.,Fault_7344
517573.97440977,7473125.01394265,394.,Fault_7344
511975.4630899804,7478825.175021991,391.,Fault_7344
524662.73130987,7480154.44913802,390.,Fault_7436
529827.91051599,7480963.48990523,440.,Fault_7436
537775.93181324,7480703.57045699,432.,Fault_7436
538468.26221117,7480515.58826357,444.,Fault_7436
540899.98049524,7481030.66038642,501.,Fault_7436
543539.54005779,7479775.1787106,471.,Fault_7436
545000.01970581,7478579.67025788,462.,Fault_7436
560124.94518343,7479717.8142949,651.,Fault_7439
557462.72921041,7481615.29104849,594.,Fault_7439
551340.35883734,7485626.33762911,579.,Fault_7439
546577.26028642,7487345.218131,629.,Fault_7439
542571.51239981,7488831.16066893,636.,Fault_7439
541734.62845792,7489299.55409792,559.,Fault_7439
537397.37114626,7490660.1112043,530.,Fault_7439
532258.33258664,7491872.06228827,518.,Fault_7439
528389.75359679,7492771.53282839,464.,Fault_7439
527475.04337437,7492999.02684152,515.,Fault_7439
637368.197225,7429868.7291365,528.,Fault_7884
640431.63239223,7428828.08113588,533.,Fault_7884
644270.745067956,7427521.337889681,539.,Fault_7884
523139.74494814,7465417.97509713,462.,Fault_7966
520260.12860242,7468305.0606463,372.,Fault_7966
519200.3577101,7468781.53989683,372.,Fault_7966
514691.37116261,7471004.07124259,347.,Fault_7966
511975.4630899804,7473099.60237605,346.,Fault_7966
581077.90917815,7480837.91895163,725.,Fault_8551
578487.37889662,7482153.50997411,970.,Fault_8551
576532.09099848,7483752.53835335,745.,Fault_8551
575932.97893011,7484494.61361314,802.,Fault_8551
575078.08060153,7486904.52375479,790.,Fault_8551
573823.63097605,7488670.4985382,649.,Fault_8551
569987.51458075,7490631.93735807,635.,Fault_8551
540019.18004706,7441700.40969283,389.,Fault_15397
543843.44321325,7439419.69878769,383.,Fault_15397
544326.50813069,7439053.8908047,383.,Fault_15397
545049.21723218,7438340.912325,392.,Fault_15397
545602.81912222,7437642.8987278,426.,Fault_15397
512855.51947114,7465188.04146992,322.,Fault_15527
513734.60350634,7463014.18980671,340.,Fault_15527
513274.99075516,7459801.53076318,351.,Fault_15527
544229.29847218,7451684.49182652,527.,Fault_16245
543735.71773547,7455083.95000591,548.,Fault_16245
543090.68828383,7456360.9895145,513.,Fault_16245
539162.75990532,7463113.20046616,402.,Fault_16245
511975.4630899804,7458347.414508787,306.,Fault_17127
518040.43642246,7457426.80217587,324.,Fault_17127
518544.9854417,7457109.78338527,334.,Fault_17127
519178.00029335,7455979.49184445,341.,Fault_17127
574060.7803412307,7421210.058449306,367.,Fault_17128
573148.46140521,7422672.36144104,373.,Fault_17128
570635.68272371,7424543.3886888,413.,Fault_17128
566083.70256991,7426645.35692772,391.,Fault_17128
563038.46162474,7428264.74706755,440.,Fault_17128
559043.42827439,7429600.18671696,342.,Fault_17128
556359.85302769,7431468.25292013,450.,Fault_17128
554384.62698318,7432135.82981878,354.,Fault_17128
552982.14887711,7432679.34587968,344.,Fault_17128
550061.68629425,7434075.86982243,376.,Fault_17128
544581.35253951,7435204.90603101,373.,Fault_17128
540065.37058582,7436380.88865103,382.,Fault_17128
