X,Y,Z,azimuth,dip,polarity,formation,group
564218.4596150435,7443701.93860024,413.,26.612497121515332,10,1,Mount_Roe_Basalt,Fortescue Group
563546.5284553565,7442360.85377196,418.,206.61249712151533,10,1,Mount_Roe_Basalt,Fortescue Group
552657.0048129966,7452920.453437661,544.,48.59620729784365,29,1,Fortescue_Group,Fortescue Group
551531.9038744634,7451928.411161288,468.,228.59620729784365,29,1,Fortescue_Group,Fortescue Group
617611.2626956056,7471838.8904747395,589.,19.140041109425397,17,1,Milli_Milli_Inlier_metagranitc_unit,Milli Milli Inlier metagranitc unit
617119.4454018944,7470421.810466551,574.,199.1400411094254,17,1,Milli_Milli_Inlier_metagranitc_unit,Milli Milli Inlier metagranitc unit
609260.2857021156,7473242.7774982825,602.,0.7306073233804113,18,1,Hardey_Formation,Fortescue Group
609241.1589654644,7471742.899447259,604.,180.7306073233804,18,1,Hardey_Formation,Fortescue Group
601781.4310115596,7473125.329574077,608.,356.8062208543159,18,1,Milli_Milli_Inlier_metagranitc_unit,Milli Milli Inlier metagranitc unit
601865.0006609106,7471627.659345453,599.,536.8062208543158,18,1,Milli_Milli_Inlier_metagranitc_unit,Milli Milli Inlier metagranitc unit
597154.928668084,7472988.89317997,622.,1.2263689236345954,27,1,Milli_Milli_Inlier_metagranitc_unit,Milli Milli Inlier metagranitc unit
597122.824856206,7471489.2367709,629.,181.2263689236346,27,1,Milli_Milli_Inlier_metagranitc_unit,Milli Milli Inlier metagranitc unit
536543.9882876236,7474436.77199785,443.,189.56234261238933,39,1,Rocklea_Inlier_metagranitic_unit,Rocklea Inlier metagranitic unit
536793.1692916964,7475915.93014599,443.,369.56234261238933,39,1,Rocklea_Inlier_greenstones,Rocklea Inlier greenstones
523619.04490175826,7506630.084621703,543.,529.2318730600589,35,1,Turee_Creek_Group,Turee Creek Group
523899.2971755617,7505156.497616118,537.,709.2318730600589,35,1,Turee_Creek_Group,Turee Creek Group
530149.604562014,7462921.254419961,438.,533.9522202586636,33,1,Jeerinah_Formation,Fortescue Group
530307.641220556,7461429.602847188,420.,713.9522202586636,33,1,Brockman_Iron_Formation,Hamersley Group
566085.1700201773,7474717.680304142,844.,238.11981996178713,7,1,Brockman_Iron_Formation,Hamersley Group
564811.4383660026,7473925.463368477,837.,418.11981996178713,7,1,Brockman_Iron_Formation,Hamersley Group
627838.9746342076,7431238.672266583,504.,365.23530623956424,27,1,Cheela_Springs_Basalt,Shingle Creek Group
627975.8439897124,7432732.414807827,510.,545.2353062395642,27,1,Cheela_Springs_Basalt,Shingle Creek Group
639405.6445686385,7429575.710360392,528.,372.4698014517379,10,1,Turee_Creek_Group,Turee Creek Group
639729.5320886275,7431040.325283979,532.,552.4698014517379,10,1,Turee_Creek_Group,Turee Creek Group
554974.819243525,7488002.192062252,539.,364.9926138462324,33,1,Turee_Creek_Group,Turee Creek Group
555105.3602233349,7489496.500950198,542.,544.9926138462324,33,1,Turee_Creek_Group,Turee Creek Group
561800.12227078,7487307.347761605,572.,369.1968178463592,8,1,Turee_Creek_Group,Turee Creek Group
562039.8618150201,7488788.065476406,570.,549.1968178463592,8,1,Turee_Creek_Group,Turee Creek Group
566425.481048896,7486256.271501187,613.,374.211841915499,32,1,Turee_Creek_Group,Turee Creek Group
566793.7426679041,7487710.363444623,604.,554.211841915499,32,1,Turee_Creek_Group,Turee Creek Group
542404.0214516796,7497535.676315305,486.,156.3977987910671,6,1,Bunjinah_Formation,Fortescue Group
541803.4450955804,7498910.197337515,499.,336.3977987910671,6,1,Bunjinah_Formation,Fortescue Group
591708.6807319717,7449884.313377067,524.,180.15212428300083,3,1,Fortescue_Group,Fortescue Group
591712.6633317084,7451384.308090024,529.,360.15212428300083,3,1,Fortescue_Group,Fortescue Group
600542.7307986779,7477017.838274655,633.,178.0919557436996,57,1,Milli_Milli_Inlier_greenstones,Milli Milli Inlier greenstones
600492.787549232,7478517.006601374,616.,358.0919557436996,57,1,Milli_Milli_Inlier_greenstones,Milli Milli Inlier greenstones
515067.0315143447,7436515.165624454,266.,204.8412863632459,47,1,Ashburton_Formation,Wyloo Group
515697.19066807575,7437876.378113733,295.,384.8412863632459,47,1,Ashburton_Formation,Wyloo Group
520628.82849536795,7433946.523554732,277.,204.70679730340157,50,1,Ashburton_Formation,Wyloo Group
521255.79077340214,7435309.211450738,276.,384.7067973034016,50,1,Ashburton_Formation,Wyloo Group
617845.7364407884,7491236.231042726,760.,11.725886737246185,37,1,Fortescue_Group,Fortescue Group
617540.8918966016,7489767.534408333,757.,191.72588673724619,37,1,Fortescue_Group,Fortescue Group
615217.6244899585,7491937.583530045,753.,15.573300793750207,33,1,Jeerinah_Formation,Fortescue Group
614814.9180376314,7490492.651866174,789.,195.5733007937502,33,1,Fortescue_Group,Fortescue Group
641459.9760565852,7505311.936518126,769.,23.612219682224975,5,1,Brockman_Iron_Formation,Hamersley Group
640859.159367321,7503937.520530916,747.,203.61221968222497,5,1,Brockman_Iron_Formation,Hamersley Group
635536.9585179057,7508280.305403079,784.,29.69436325659342,8,1,Brockman_Iron_Formation,Hamersley Group
634793.898702456,7506977.28502309,812.,209.69436325659342,8,1,Brockman_Iron_Formation,Hamersley Group
565606.7361248422,7438879.462883567,417.,12.72566711580231,23,1,Bellary_Formation,Fortescue Group
565276.3113277978,7437416.308943102,403.,192.7256671158023,23,1,Bellary_Formation,Fortescue Group
563832.4640415658,7439347.894190455,421.,19.446366521777975,33,1,Bellary_Formation,Fortescue Group
563333.0775547742,7437933.463868095,409.,199.44636652177797,33,1,Bellary_Formation,Fortescue Group
