X,Y,Z,code,type
627691.1738472,7455637.44545421,880.,FA_11123,anticline exposed
635642.72185845,7452200.50442735,667.,FA_11123,anticline exposed
642062.73124654,7449335.13022283,704.,FA_11123,anticline exposed
644270.745067956,7448682.498190025,729.,FA_11123,anticline exposed
585975.08114379,7433903.92577123,490.,FA_11127,anticline exposed
577692.47940981,7437015.85805484,430.,FA_11127,anticline exposed
570162.93329804,7439884.67291533,417.,FA_11127,anticline exposed
557602.05477236,7446178.11945687,417.,FA_11127,anticline exposed
546586.8539151,7458670.74514208,453.,FA_11127,anticline exposed
513684.24943192,7462267.62915548,355.,FA_11182,anticline exposed
512919.5120713,7462588.60427487,432.,FA_11182,anticline exposed
511975.4630899804,7463020.23708758,335.,FA_11182,anticline exposed
632734.23064221,7467131.3688331,651.,FA_11183,anticline exposed
621131.3265649,7469823.31741649,573.,FA_11183,anticline exposed
613599.3815326,7472437.3835248,594.,FA_11183,anticline exposed
604902.06313498,7472548.29342074,593.,FA_11183,anticline exposed
598744.36853749,7472204.69549879,616.,FA_11183,anticline exposed
595533.3849868,7472273.43445208,614.,FA_11183,anticline exposed
589968.84393316,7474088.22866057,657.,FA_11183,anticline exposed
580126.51433121,7476435.72922768,688.,FA_11183,anticline exposed
569724.2684984,7477761.97032192,706.,FA_11183,anticline exposed
568670.32310107,7478123.94155414,702.,FA_11183,anticline exposed
511975.4630899804,7478426.718008751,391.,FA_11202,anticline exposed
527393.30539511,7476496.14215542,407.,FA_11202,anticline exposed
531451.83360457,7476055.1710986,414.,FA_11202,anticline exposed
541885.32397475,7474297.53104524,453.,FA_11202,anticline exposed
555393.40277278,7468940.0465568,506.,FA_11202,anticline exposed
535070.856477398,7509272.83168071,623.,FA_13532,syncline exposed
529280.63631529,7506943.38398254,572.,FA_13532,syncline exposed
518237.70576203,7504843.19825528,511.,FA_13532,syncline exposed
515738.88476599,7504353.4403226,505.,FA_13532,syncline exposed
515738.88476599,7504353.4403226,505.,FA_13533,syncline exposed
515063.9780114,7504221.08640311,496.,FA_13533,syncline exposed
511975.4630899804,7503753.340347206,490.,FA_13533,syncline exposed
538447.28899123,7462700.43897321,397.,FA_13563,syncline exposed
530906.24495378,7462247.22095322,414.,FA_13563,syncline exposed
529551.00082879,7462103.63631393,480.,FA_13563,syncline exposed
529100.64007716,7462146.2026508,559.,FA_13563,syncline exposed
529100.64007716,7462146.2026508,559.,FA_13565,syncline exposed
523002.17099778,7463204.58220636,399.,FA_13565,syncline exposed
522436.88995085,7463354.08148385,399.,FA_13565,syncline exposed
517832.85759978,7464528.15788124,379.,FA_13565,syncline exposed
511975.4630899804,7466276.406778845,314.,FA_13565,syncline exposed
580783.05634832,7450101.05303508,534.,FA_13631,syncline exposed
573263.85359,7459833.79862226,694.,FA_13631,syncline exposed
571610.87000206,7462615.95793196,725.,FA_13631,syncline exposed
566344.85032215,7472880.09901163,911.,FA_13631,syncline exposed
566344.85032215,7472880.09901163,911.,FA_13632,syncline exposed
564551.75806403,7475763.04466099,879.,FA_13632,syncline exposed
562505.17547973,7481882.8514842,759.,FA_13632,syncline exposed
581200.58953025,7444642.4085124,470.,FA_13664,syncline exposed
586218.11952996,7438223.29101914,595.,FA_13664,syncline exposed
589925.460033,7437078.27193494,598.,FA_13664,syncline exposed
598045.82915305,7433609.83237994,506.,FA_13664,syncline exposed
602325.07053411,7432758.53434922,489.,FA_13664,syncline exposed
608491.53970831,7432334.04617726,472.,FA_13664,syncline exposed
620950.38703461,7432623.00489955,486.,FA_13664,syncline exposed
634864.43158931,7431348.08217486,517.,FA_13664,syncline exposed
644270.745067956,7429267.953469511,541.,FA_13664,syncline exposed
537771.61272498,7490461.123314,530.,FA_13665,syncline exposed
549509.90711465,7489232.4564331,570.,FA_13665,syncline exposed
560570.27235221,7488266.23657935,558.,FA_13665,syncline exposed
563269.71173359,7487829.17665866,579.,FA_13665,syncline exposed
569949.51198321,7486137.45828715,618.,FA_13665,syncline exposed
579133.4500884,7483427.2491256,849.,FA_13665,syncline exposed
587020.81508439,7482030.49895786,691.,FA_13665,syncline exposed
535081.8073639,7495154.8115613,476.,FA_9633,anticline exposed
549125.65918336,7501291.06209152,516.,FA_9633,anticline exposed
550833.2808557,7503117.98987413,534.,FA_9633,anticline exposed
561579.97078749,7508810.31414454,680.,FA_9633,anticline exposed
564088.1842567837,7509272.83168071,636.,FA_9633,anticline exposed
579924.46841383,7453346.24493743,599.,FA_10244,anticline exposed
588452.29241289,7450642.96197858,527.,FA_10244,anticline exposed
594969.05165079,7450625.65948851,539.,FA_10244,anticline exposed
597171.96829044,7450905.1060201,552.,FA_10244,anticline exposed
590115.74158526,7478148.91680065,673.,FA_10355,anticline exposed
594540.73211101,7478058.76552328,644.,FA_10355,anticline exposed
599726.25960424,7477741.05444468,641.,FA_10355,anticline exposed
601309.25874367,7477793.79043135,615.,FA_10355,anticline exposed
619627.91918815,7481548.96551611,640.,FA_10401,anticline exposed
613425.3185278,7479320.34150305,640.,FA_10401,anticline exposed
610606.16937388,7478614.03333502,628.,FA_10401,anticline exposed
602426.55959343,7478323.70390825,626.,FA_10401,anticline exposed
634847.47176897,7468276.29262974,751.,FA_10435,anticline exposed
637540.7736034,7468083.38934951,731.,FA_10435,anticline exposed
644270.745067956,7467823.643195017,855.,FA_10435,anticline exposed
590632.8537159099,7421210.058449306,563.,FA_10493,anticline exposed
585368.21897363,7425366.97981136,631.,FA_10493,anticline exposed
583530.14779962,7426823.05514354,518.,FA_10493,anticline exposed
581992.62415103,7428235.86861959,677.,FA_10493,anticline exposed
518208.42896976,7453323.65650196,433.,FA_10519,anticline exposed
515497.9338768,7453874.58793326,390.,FA_10519,anticline exposed
511975.4630899804,7454170.722128683,307.,FA_10519,anticline exposed
511975.4630899804,7438772.844103166,269.,FA_10545,anticline exposed
518788.75909244,7435618.69963502,291.,FA_10545,anticline exposed
523095.86017633,7433637.03537045,284.,FA_10545,anticline exposed
623283.35296808,7489285.48646119,702.,FA_10562,anticline exposed
618155.27089881,7490405.99839821,743.,FA_10562,anticline exposed
617231.35743858,7490597.76705285,731.,FA_10562,anticline exposed
612801.18508901,7491832.46834337,757.,FA_10562,anticline exposed
643706.73536617,7431785.54773776,555.,FA_11026,anticline exposed
644270.745067956,7431688.474308386,561.,FA_11026,anticline exposed
644270.745067956,7503264.698303583,731.,FA_11055,anticline exposed
638048.39035595,7505984.75874546,778.,FA_11055,anticline exposed
632282.4668644117,7509272.83168071,848.,FA_11055,anticline exposed
572023.04828489,7437179.78373824,419.,FA_11085,anticline exposed
566726.29914596,7437857.74442819,425.,FA_11085,anticline exposed
564156.74830668,7438438.02739848,412.,FA_11085,anticline exposed
563008.79328966,7438843.33066007,423.,FA_11085,anticline exposed
538945.23975405,7463571.3452148,428.,FA_11342,overturned syncline exposed
547277.43547338,7462666.29487547,533.,FA_11342,overturned syncline exposed
548686.6985274,7462528.28877084,648.,FA_11342,overturned syncline exposed
551556.49059379,7462799.13308598,744.,FA_11342,overturned syncline exposed
556271.00351988,7463610.09135532,551.,FA_11342,overturned syncline exposed
573488.814441475,7421210.058449306,367.,FA_11968,syncline exposed
565150.20822089,7425392.52434927,377.,FA_11968,syncline exposed
554189.5539046,7429098.08182796,326.,FA_11968,syncline exposed
548039.14408003,7431569.08058424,336.,FA_11968,syncline exposed
543271.56504912,7432979.84971464,343.,FA_11968,syncline exposed
528946.6872231,7436514.04924055,301.,FA_11968,syncline exposed
517035.45870919,7441431.85314968,291.,FA_11968,syncline exposed
511975.4630899804,7443545.549577671,284.,FA_11968,syncline exposed
622058.63779415,7460404.50023954,612.,FA_12755,syncline exposed
633331.51069649,7456908.34912386,676.,FA_12755,syncline exposed
644270.745067956,7456602.207186559,674.,FA_12755,syncline exposed
644270.745067956,7491921.613171804,755.,FA_12779,syncline exposed
618107.42985369,7499049.68137359,953.,FA_12779,syncline exposed
617737.44111975,7499199.09838991,953.,FA_12779,syncline exposed
614809.70015976,7500610.07892172,766.,FA_12779,syncline exposed
611887.67530185,7502875.03541221,815.,FA_12779,syncline exposed
622787.02916309,7503075.39649346,738.,FA_12890,syncline exposed
614860.30273588,7507025.18459731,815.,FA_12890,syncline exposed
608560.62118735,7508999.32091686,918.,FA_12890,syncline exposed
607867.9738086421,7509272.83168071,1019.,FA_12890,syncline exposed
