X,Y,Z,formation
614877.6507737,7475295.1096186,637.,Milli_Milli_Inlier_metagranitc_unit
615477.19875289,7474311.54172176,634.,Milli_Milli_Inlier_metagranitc_unit
616386.42011551,7474248.92138574,673.,Milli_Milli_Inlier_metagranitc_unit
617497.37092441,7473810.28911114,616.,Milli_Milli_Inlier_metagranitc_unit
618480.11978196,7473187.20172071,614.,Milli_Milli_Inlier_metagranitc_unit
619014.93049091,7471987.77826373,627.,Milli_Milli_Inlier_metagranitc_unit
620357.28881109,7470783.84724791,576.,Milli_Milli_Inlier_metagranitc_unit
620797.07111963,7469655.40946889,573.,Milli_Milli_Inlier_metagranitc_unit
620255.33019563,7469416.45997692,577.,Milli_Milli_Inlier_metagranitc_unit
618577.49907527,7469661.07805813,574.,Milli_Milli_Inlier_metagranitc_unit
615596.29001406,7469970.21910516,573.,Milli_Milli_Inlier_metagranitc_unit
613536.51859333,7470146.83982338,582.,Milli_Milli_Inlier_metagranitc_unit
611909.53054949,7471702.38054124,612.,Milli_Milli_Inlier_metagranitc_unit
610111.46005795,7473373.38029967,594.,Milli_Milli_Inlier_metagranitc_unit
609542.00144632,7473981.3912928,593.,Milli_Milli_Inlier_metagranitc_unit
607633.28926904,7475069.42732488,600.,Milli_Milli_Inlier_metagranitc_unit
607757.75832847,7476207.9598875,597.,Milli_Milli_Inlier_metagranitc_unit
608113.54170667,7476367.94940903,606.,Milli_Milli_Inlier_metagranitc_unit
609567.06759209,7476590.42045657,606.,Milli_Milli_Inlier_metagranitc_unit
610203.52891355,7476701.90051794,620.,Milli_Milli_Inlier_metagranitc_unit
610778.96923514,7476011.39024771,614.,Milli_Milli_Inlier_metagranitc_unit
611830.34250034,7476450.86239778,800.,Milli_Milli_Inlier_metagranitc_unit
612065.71770099,7476462.3496547,756.,Milli_Milli_Inlier_metagranitc_unit
612865.47866411,7476146.32661326,639.,Milli_Milli_Inlier_metagranitc_unit
611450.61792542,7475498.36936305,606.,Milli_Milli_Inlier_metagranitc_unit
611599.95020183,7474803.86748755,598.,Milli_Milli_Inlier_metagranitc_unit
614088.94981605,7475292.70877214,633.,Milli_Milli_Inlier_metagranitc_unit
614795.07223897,7475314.61887887,637.,Milli_Milli_Inlier_metagranitc_unit
