GROUP_,id,x,y,z,code
Fortescue Group,14341,544699.73989818,7475046.10992834,450.,Mount_Roe_Basalt
Fortescue Group,14341,544440.75061997,7475397.62110394,482.,Mount_Roe_Basalt
Fortescue Group,14341,544257.60070337,7475666.10028237,472.,Mount_Roe_Basalt
Fortescue Group,14341,544150.72878163,7475933.60980426,472.,Mount_Roe_Basalt
Fortescue Group,14341,544019.37018546,7476380.11160806,460.,Mount_Roe_Basalt
Fortescue Group,14341,543982.23927846,7476596.63148853,460.,Mount_Roe_Basalt
Fortescue Group,14341,543971.59860207,7477042.14110271,455.,Mount_Roe_Basalt
Fortescue Group,14341,543984.66028306,7477112.14026553,455.,Mount_Roe_Basalt
Fortescue Group,14341,544003.99001284,7477163.14045784,455.,Mount_Roe_Basalt
Fortescue Group,14341,544137.38020216,7477130.63048583,455.,Mount_Roe_Basalt
Fortescue Group,14341,544245.43982986,7477117.1421511,455.,Mount_Roe_Basalt
Fortescue Group,14341,544398.1812338,7477135.63909908,455.,Mount_Roe_Basalt
Fortescue Group,14341,544410.8705882,7477129.1391502,455.,Mount_Roe_Basalt
Fortescue Group,14341,566367.76104122,7440123.35928639,435.,Mount_Roe_Basalt
Fortescue Group,14341,565918.85978269,7440056.84813599,412.,Mount_Roe_Basalt
Fortescue Group,14341,564990.16095854,7440062.82813076,416.,Mount_Roe_Basalt
Fortescue Group,14341,564529.1479274,7440084.83008093,428.,Mount_Roe_Basalt
Fortescue Group,14341,564270.82987209,7440212.80824251,416.,Mount_Roe_Basalt
Fortescue Group,14341,564082.42292305,7440435.31939166,416.,Mount_Roe_Basalt
Fortescue Group,14341,563900.23967836,7440632.79938402,416.,Mount_Roe_Basalt
Fortescue Group,14341,563597.86062004,7440786.3002936,412.,Mount_Roe_Basalt
Fortescue Group,14341,563338.87878645,7440800.7891857,412.,Mount_Roe_Basalt
Fortescue Group,14341,563016.72107896,7440802.78011068,418.,Mount_Roe_Basalt
Fortescue Group,14341,562618.53187209,7440761.27077998,418.,Mount_Roe_Basalt
Fortescue Group,14341,562276.90084771,7440681.25974837,453.,Mount_Roe_Basalt
Fortescue Group,14341,562030.08707537,7440588.25981744,453.,Mount_Roe_Basalt
Fortescue Group,14341,561865.1508078,7440462.74939157,465.,Mount_Roe_Basalt
Fortescue Group,14341,561775.82259545,7440305.25163209,465.,Mount_Roe_Basalt
Fortescue Group,14341,561762.20979254,7440115.24993686,465.,Mount_Roe_Basalt
Fortescue Group,14341,561843.29072062,7439918.74800671,446.,Mount_Roe_Basalt
Fortescue Group,14341,561962.86866816,7439835.75924016,437.,Mount_Roe_Basalt
Fortescue Group,14341,562050.72024525,7439727.75214013,437.,Mount_Roe_Basalt
Fortescue Group,14341,562050.17915142,7439613.75920053,437.,Mount_Roe_Basalt
Fortescue Group,14341,561967.32172388,7439487.76093571,437.,Mount_Roe_Basalt
Fortescue Group,14341,561865.92947139,7439425.24903147,446.,Mount_Roe_Basalt
Fortescue Group,14341,561600.00021352,7439319.74111687,432.,Mount_Roe_Basalt
Fortescue Group,14341,561492.50960646,7439295.23782199,432.,Mount_Roe_Basalt
Fortescue Group,14341,560446.02156456,7439713.26052543,417.,Mount_Roe_Basalt
Fortescue Group,14341,558655.79908565,7440464.77013524,426.,Mount_Roe_Basalt
Fortescue Group,14341,558616.62859364,7440224.76062426,426.,Mount_Roe_Basalt
Fortescue Group,14341,558634.72947941,7440066.27031976,481.,Mount_Roe_Basalt
Fortescue Group,14341,558760.37048144,7439926.26916187,481.,Mount_Roe_Basalt
Fortescue Group,14341,559087.93998438,7439759.76983455,481.,Mount_Roe_Basalt
Fortescue Group,14341,559447.5808364,7439662.76018338,414.,Mount_Roe_Basalt
Fortescue Group,14341,559781.54067064,7439502.25941764,414.,Mount_Roe_Basalt
Fortescue Group,14341,559925.9111511,7439330.75891214,444.,Mount_Roe_Basalt
Fortescue Group,14341,559987.74108926,7439070.7487057,444.,Mount_Roe_Basalt
Fortescue Group,14341,560030.74135723,7438842.76141103,444.,Mount_Roe_Basalt
Fortescue Group,14341,560111.60042226,7438595.75970619,478.,Mount_Roe_Basalt
Fortescue Group,14341,560356.09023779,7438246.24853553,478.,Mount_Roe_Basalt
Fortescue Group,14341,560576.54052673,7438112.24043214,444.,Mount_Roe_Basalt
Fortescue Group,14341,560942.35050972,7438002.24170443,443.,Mount_Roe_Basalt
Fortescue Group,14341,561112.85888611,7437994.75073857,443.,Mount_Roe_Basalt
Fortescue Group,14341,561277.1902704,7438006.23987029,418.,Mount_Roe_Basalt
Fortescue Group,14341,561340.49063421,7438031.22940128,418.,Mount_Roe_Basalt
Fortescue Group,14341,561416.37984803,7438043.23754024,418.,Mount_Roe_Basalt
Fortescue Group,14341,561906.74894094,7437591.24030275,413.,Mount_Roe_Basalt
Fortescue Group,14341,562046.03084042,7437634.24844154,413.,Mount_Roe_Basalt
Fortescue Group,14341,562393.32265059,7437613.24947472,413.,Mount_Roe_Basalt
Fortescue Group,14341,562784.10838542,7437439.75981274,409.,Mount_Roe_Basalt
Fortescue Group,14341,563137.54791104,7437374.25999481,400.,Mount_Roe_Basalt
Fortescue Group,14341,563491.38168353,7437384.79058501,400.,Mount_Roe_Basalt
Fortescue Group,14341,563864.23948839,7437407.29742152,400.,Mount_Roe_Basalt
Fortescue Group,14341,564376.01119086,7437410.3002359,444.,Mount_Roe_Basalt
Fortescue Group,14341,564981.94857325,7437317.82117092,407.,Mount_Roe_Basalt
Fortescue Group,14341,565291.13918407,7437239.84054286,403.,Mount_Roe_Basalt
Fortescue Group,14341,565984.35226118,7436919.35103907,412.,Mount_Roe_Basalt
Fortescue Group,14341,566280.86017318,7436841.36266326,412.,Mount_Roe_Basalt
Fortescue Group,14341,566545.69099228,7436744.87055862,430.,Mount_Roe_Basalt
Fortescue Group,14341,566803.97975092,7436610.36830793,392.,Mount_Roe_Basalt
Fortescue Group,14341,567195.32856319,7436544.38931772,392.,Mount_Roe_Basalt
Fortescue Group,14341,567612.06721605,7436503.90083523,396.,Mount_Roe_Basalt
Fortescue Group,14341,568193.22075594,7436487.4098225,400.,Mount_Roe_Basalt
Fortescue Group,14341,568559.75979504,7436516.41824619,400.,Mount_Roe_Basalt
Fortescue Group,14341,569837.69975631,7436855.95946132,431.,Mount_Roe_Basalt
Fortescue Group,14341,570210.84045372,7436929.47135727,423.,Mount_Roe_Basalt
Fortescue Group,14341,570729.84153344,7437115.99043173,422.,Mount_Roe_Basalt
Fortescue Group,14341,570825.35050141,7437254.48834189,422.,Mount_Roe_Basalt
Fortescue Group,14341,570832.85126522,7437475.48034002,424.,Mount_Roe_Basalt
Fortescue Group,14341,570739.15889438,7437665.98181922,424.,Mount_Roe_Basalt
Fortescue Group,14341,570588.06924112,7437774.48006325,424.,Mount_Roe_Basalt
Fortescue Group,14341,570392.76832947,7437876.97027401,408.,Mount_Roe_Basalt
Fortescue Group,14341,570229.26029845,7438023.47916556,408.,Mount_Roe_Basalt
Fortescue Group,14341,570027.81110438,7438151.47136448,408.,Mount_Roe_Basalt
Fortescue Group,14341,569813.43107451,7438228.45921975,415.,Mount_Roe_Basalt
Fortescue Group,14341,569554.50185288,7438249.46027127,415.,Mount_Roe_Basalt
Fortescue Group,14341,569276.54019538,7438250.93811126,415.,Mount_Roe_Basalt
Fortescue Group,14341,569087.29153179,7438302.95054613,432.,Mount_Roe_Basalt
Fortescue Group,14341,568942.41922033,7438373.42969213,432.,Mount_Roe_Basalt
Fortescue Group,14341,568860.60958472,7438437.44243908,432.,Mount_Roe_Basalt
Fortescue Group,14341,568639.91798306,7438520.93103971,432.,Mount_Roe_Basalt
Fortescue Group,14341,569033.46531178,7438874.2527025,432.,Mount_Roe_Basalt
Fortescue Group,14341,569534.97128155,7439324.45921991,412.,Mount_Roe_Basalt
Fortescue Group,14341,569302.45819936,7439553.95053812,418.,Mount_Roe_Basalt
