index,group number,index in group,number in group,code,group
0,1,1,3,Ashburton_Formation,Wyloo_Group
1,1,2,3,Duck_Creek_Dolomite,Wyloo_Group
2,1,3,3,Mount_McGrath_Formation,Wyloo_Group
3,2,1,2,Cheela_Springs_Basalt,Shingle_Creek_Group
4,2,2,2,Beasley_River_Quartzite,Shingle_Creek_Group
5,3,1,2,Turee_Creek_Group,Turee_Creek_Group
6,3,2,2,Kungarra_Formation,Turee_Creek_Group
7,4,1,7,Boolgeeda_Iron_Formation,Hamersley_Group
8,4,2,7,Woongarra_Rhyolite,Hamersley_Group
9,4,3,7,Weeli_Wolli_Formation,Hamersley_Group
10,4,4,7,Brockman_Iron_Formation,Hamersley_Group
11,4,5,7,Mount_McRae_Shale_and_Mount_Sylvia_Formation,Hamersley_Group
12,4,6,7,Wittenoom_Formation,Hamersley_Group
13,4,7,7,Marra_Mamba_Iron_Formation,Hamersley_Group
14,5,1,8,Jeerinah_Formation,Fortescue_Group
15,5,2,8,Fortescue_Group,Fortescue_Group
16,5,3,8,Bunjinah_Formation,Fortescue_Group
17,5,4,8,Pyradie_Formation,Fortescue_Group
18,5,5,8,Boongal_Formation,Fortescue_Group
19,5,6,8,Hardey_Formation,Fortescue_Group
20,5,7,8,Mount_Roe_Basalt,Fortescue_Group
21,5,8,8,Bellary_Formation,Fortescue_Group
22,6,1,1,Rocklea_Inlier_metagranitic_unit,Rocklea_Inlier_metagranitic_unit
23,7,1,1,Rocklea_Inlier_greenstones,Rocklea_Inlier_greenstones
24,8,1,1,Milli_Milli_Inlier_metagranitc_unit,Milli_Milli_Inlier_metagranitc_unit
25,9,1,1,Milli_Milli_Inlier_greenstones,Milli_Milli_Inlier_greenstones
