X,Y,Z,formation
544699.73989818,7475046.10992834,450.,Mount_Roe_Basalt
544150.72878163,7475933.60980426,472.,Mount_Roe_Basalt
543982.23927846,7476596.63148853,460.,Mount_Roe_Basalt
543984.66028306,7477112.14026553,455.,Mount_Roe_Basalt
544003.99001284,7477163.14045784,455.,Mount_Roe_Basalt
544245.43982986,7477117.1421511,455.,Mount_Roe_Basalt
544410.8705882,7477129.1391502,455.,Mount_Roe_Basalt
566367.76104122,7440123.35928639,435.,Mount_Roe_Basalt
564082.42292305,7440435.31939166,416.,Mount_Roe_Basalt
562618.53187209,7440761.27077998,418.,Mount_Roe_Basalt
561762.20979254,7440115.24993686,465.,Mount_Roe_Basalt
561967.32172388,7439487.76093571,437.,Mount_Roe_Basalt
558655.79908565,7440464.77013524,426.,Mount_Roe_Basalt
559447.5808364,7439662.76018338,414.,Mount_Roe_Basalt
560111.60042226,7438595.75970619,478.,Mount_Roe_Basalt
561277.1902704,7438006.23987029,418.,Mount_Roe_Basalt
561906.74894094,7437591.24030275,413.,Mount_Roe_Basalt
562393.32265059,7437613.24947472,413.,Mount_Roe_Basalt
564376.01119086,7437410.3002359,444.,Mount_Roe_Basalt
566545.69099228,7436744.87055862,430.,Mount_Roe_Basalt
568559.75979504,7436516.41824619,400.,Mount_Roe_Basalt
570832.85126522,7437475.48034002,424.,Mount_Roe_Basalt
570027.81110438,7438151.47136448,408.,Mount_Roe_Basalt
568942.41922033,7438373.42969213,432.,Mount_Roe_Basalt
569302.45819936,7439553.95053812,418.,Mount_Roe_Basalt
567440.51944499,7439894.90867723,424.,Mount_Roe_Basalt
566702.69854194,7440139.87102038,429.,Mount_Roe_Basalt
606698.29090465,7476689.98226056,607.,Hardey_Formation
614643.40896324,7475525.12069923,633.,Hardey_Formation
613051.8795534,7476546.31123924,759.,Hardey_Formation
612858.21990186,7477285.31095622,781.,Hardey_Formation
614877.6507737,7475295.1096186,637.,Hardey_Formation
606698.29090465,7476689.98226056,607.,Hardey_Formation
608113.54170667,7476367.94940903,606.,Hardey_Formation
607633.28926904,7475069.42732488,600.,Hardey_Formation
