WKT	objectid	feature
LINESTRING (551564.6485128599 7435101.858559, 551359.45907157 7434798.85849178, 551042.93877795 7434393.40352686)	1203	Fault or shear zone
LINESTRING (606538.23457083 7449076.36897596, 607623.61078089 7448789.39920224, 607913.59891624 7448712.38007275, 608352.61152712 7448596.34020103, 611285.03309649 7447476.57160688, 612476.86997714 7446988.46051493, 612932.12148642 7446801.94056867, 613059.5107895 7446749.45026697, 613207.15253931 7446691.51680421, 613553.81944768 7446555.47993677, 614417.28863379 7446222.52021326, 614525.66132837 7446179.83920879, 614578.4710575599 7446159.04040889, 615099.72016137 7445944.07905146, 615156.40096433 7445920.57229168, 615312.9499774399 7445856.08896656, 615393.42034673 7445833.08944828, 615961.08045589 7445671.12870291, 616384.95799835 7445637.66902295, 616840.7137737999 7445601.69361203)	5454	Fault or shear zone
LINESTRING (526069.2266133815 7421210.058449306, 525182.79532821 7421971.76478727, 523623.09517517 7423225.60638261, 519535.25526239 7426376.63118523, 517256.19923509 7427833.62401022, 515819.70509655 7428613.03290473, 514539.17524263 7429256.87861414, 512508.69477238 7430104.16886148, 511975.4630899804 7430393.220344281)	6359	Fault or shear zone, major
LINESTRING (536285.9183745401 7437051.40162196, 534920.42198012 7437361.53109248, 532464.2206408801 7438072.34246641, 529606.59767005 7438837.79819223, 527099.74577992 7439547.81854306, 524292.18576832 7440583.40749763, 522136.15263365 7441400.51124805, 519579.06470601 7442651.83040846, 516219.32911185 7444500.34487442, 512909.14076031 7446565.04951606, 511975.4630899804 7447116.447952973)	6807	Fault or shear zone, major
LINESTRING (568748.86295698 7497204.91630132, 569262.37134949 7496786.92015339, 569411.93989073 7496665.41999101, 569559.73900951 7496544.93958288, 569701.38018272 7496461.93891602, 570732.92951344 7495857.47287725, 571488.12871081 7495446.00104761, 571570.1878734 7495401.50108191, 573206.11043406 7494393.02054974, 575937.150744 7492341.5392915, 577096.46988844 7491368.55104552, 577875.3414071799 7490714.55884221, 579161.84109962 7489549.57089264, 579629.31900429 7489126.56763895, 581824.43039498 7486696.03878598, 582767.23928664 7485704.02128608, 583994.65885152 7484379.98934844, 585775.61235223 7483109.94962771, 586716.65921447 7483092.4400451, 587956.65741683 7483078.93895751, 589335.54718534 7482842.44079243, 590296.06683283 7482705.93066339, 591566.34508211 7482582.42035524, 592083.45916974 7482498.92989124, 592248.36856012 7482471.91983195, 592919.80160437 7482364.92469938, 593243.50360163 7482229.41125254, 593623.5981929899 7481921.91667027, 594034.25707337 7481352.9285399, 594275.02937699 7480984.92886596, 594330.96871277 7480899.42876414, 594590.12004096 7480547.94215676, 594654.90077376 7480477.43024997, 594738.13099432 7480387.44091938, 594931.76392054 7480176.93622213, 595083.94598135 7480087.44381695, 595483.63180615 7479893.95779796, 595925.2703918701 7479820.44768331, 596204.8865738499 7479774.45051784, 596989.63405755 7479643.96070428, 598171.13842988 7479351.48992983, 598379.88857927 7479281.97979572, 598545.98135688 7479226.9908333, 599301.3985151 7478976.00577922, 599974.02336191 7478660.51429228, 601136.0082338901 7478272.54238958, 601846.7072646701 7477956.54589903, 602915.93536563 7477332.01657406, 603951.05093101 7476474.99019451, 604363.2199331101 7476068.47183038, 604982.85648984 7475456.95432554, 605735.97123017 7474689.44376207, 606393.44165939 7473851.9137676, 607063.50528307 7472982.88439012, 607254.49576362 7472698.03550109, 607675.98287611 7472069.36814194, 608212.59258659 7471238.8754268, 608756.06587664 7470516.86747511, 609331.22638638 7469787.85303756, 610027.50223031 7469083.84237495, 610546.87141315 7468654.85400372, 610704.94176284 7468528.84954779, 611053.69947918 7468250.85001559, 612150.14920479 7467455.86091011, 612466.86465365 7467235.36465265, 612841.02141291 7466974.86048495, 613602.00889649 7466537.84594249, 613679.39925239 7466507.35819626, 613836.27695366 7466445.57644337, 614049.92345736 7466361.43454241, 614290.23756395 7466266.78503328, 614617.58000789 7466137.8506711, 615634.05104709 7465780.35193969, 616146.98066385 7465604.35958288, 616418.20934081 7465511.85044934, 616477.8680626 7465491.34942636, 616720.59653517 7465445.21554859, 617077.66215597 7465377.34277945, 617341.39926695 7465324.00758097, 617530.11086497 7465285.84154621, 617979.1010064 7465186.34129407, 618199.56123767 7465137.81942059, 618580.18959595 7465005.28963549, 618980.56502109 7464866.24814628, 621765.01304148 7464622.04359976, 622915.01961173 7464379.99066083, 623835.5982706 7464069.52111796, 624312.15970473 7463990.53848024, 625144.25132814 7463789.06858629, 626172.96950871 7463497.08980302, 627237.60880046 7463193.98845333, 627563.74151839 7463101.12126712, 628123.00947744 7462946.61982463, 629138.73486005 7462653.56118673, 629520.01917633 7462587.54053013, 630194.92137062 7462556.00056152, 631009.43999578 7462494.44923786, 631631.208236 7462441.91056722, 632086.61745032 7462389.37999647, 632217.96864575 7462362.87066537, 633588.51766246 7461935.01922809, 634447.56086343 7461666.77024081, 635596.7801483599 7461403.05741232, 636412.69085863 7461215.77001541, 637004.37766901 7461057.26954907, 637385.78994324 7461036.27034089, 637722.39043929 7460926.27160423, 638688.37976524 7460787.26997661, 639330.64803113 7460783.73926193, 641054.33883849 7460831.67003333, 641894.24023885 7460916.13792662, 642848.94088982 7461082.59958671, 643613.21988409 7461320.56134863, 644270.745067956 7461603.190258013)	6825	Fault or shear zone, major
LINESTRING (548218.22807501 7450974.94948044, 548161.3189723 7451125.44891608, 547707.40033065 7452325.4307921, 547464.13061172 7452915.40922554, 547215.51593626 7453675.88470799, 546579.39038401 7455223.33477157, 546055.13377195 7456548.29762166, 545329.9786268 7457850.91539849, 544729.9803927999 7458719.99023969, 544604.09853308 7458988.01349798, 544288.02569262 7459384.02654756, 543960.10011878 7459958.56505952, 543434.7212004 7460483.58773283, 542832.58563427 7460900.62652523, 541947.24020016 7461594.13360507, 540605.40690458 7462379.64165909, 539960.0693196499 7462707.67802502, 539162.75990532 7463113.20046616, 538674.36701702 7463361.71676582, 538293.3545173 7463510.22633178, 536165.5430325801 7464399.27606229, 535352.90989588 7464690.2789, 534018.7205424299 7464952.29872435, 532582.2692631501 7465112.82975474, 531591.3410342 7465353.35271731, 530947.31287336 7465956.55558828, 530691.67782143 7466064.85168157, 528627.6788899601 7466655.38084503, 526716.73902689 7467353.40843474, 524788.17820272 7468330.93075642, 523304.73872146 7469312.95919585, 521865.12991557 7470148.48059644, 520033.05930122 7471367.48009627, 518549.81973212 7472380.98952566, 518505.57810247 7472444.9988342, 517573.97440977 7473125.01394265, 516155.31681084 7474354.51174365, 514895.1603116 7475481.46215894, 513586.04587246 7477009.90240619, 512383.63234382 7478365.19271902, 511975.4630899804 7478825.175021991)	7344	Fault or shear zone, major
LINESTRING (524662.73130987 7480154.44913802, 525046.50120046 7480304.95969632, 525590.13885675 7480549.45773494, 526736.96184937 7480922.95966262, 529856.88747434 7481720.47954789, 529827.91051599 7480963.48990523, 531488.10806683 7481043.48909377, 533085.2699609899 7481251.00100287, 534592.61076391 7481281.00779135, 536441.71919303 7480978.03134904, 537775.9318132401 7480703.57045699, 538468.26221117 7480515.58826357, 538902.02006777 7480793.10108062, 539450.06928267 7481044.61925155, 540092.7888113901 7481117.63171911, 540899.98049524 7481030.66038642, 541528.28853057 7480753.66789409, 542003.92130431 7480483.66054976, 542810.1686016 7480186.17231369, 543273.43074471 7479986.68121437, 543539.54005779 7479775.1787106, 543850.09943871 7479563.17715962, 544323.51875315 7479210.68079693, 545000.01970581 7478579.67025788)	7436	Fault or shear zone, major
LINESTRING (560124.94518343 7479717.8142949, 559565.25959079 7480131.81032142, 558961.61841599 7480662.81018675, 558506.94431588 7480932.37139168, 558166.31841564 7481134.30185048, 557462.72921041 7481615.29104849, 555890.97813197 7482756.78063474, 554199.29073696 7484058.27997833, 553299.0305781401 7484648.28057288, 552461.86938794 7485130.26124902, 551340.35883734 7485626.33762911, 551180.0214967499 7485697.24993663, 549901.13190891 7486170.60512689, 549154.91041516 7486446.74022528, 547917.22212296 7486949.72888485, 546577.26028642 7487345.218131, 544875.02778614 7487774.69125752, 543840.30941933 7488181.17854659, 542571.51239981 7488831.16066893, 541894.31235118 7489210.15968964, 541734.62845792 7489299.55409792, 541239.63983072 7489576.64160983, 539566.5335692801 7489954.74309584, 538311.22557001 7490273.62497534, 537771.61272498 7490461.123314, 537397.3711462599 7490660.1112043, 537143.2393442499 7490712.60994997, 536190.4407036999 7490947.09978482, 534321.30492983 7491059.07179509, 533413.07743435 7491318.5675787, 532258.33258664 7491872.06228827, 531616.53103596 7491977.0449986, 530872.6141028201 7492013.04908816, 530002.6940439499 7492272.54134977, 529240.74798104 7492531.02930639, 528389.75359679 7492771.53282839, 527475.04337437 7492999.02684152)	7439	Fault or shear zone, major
LINESTRING (637368.197225 7429868.7291365, 638870.89312811 7429406.18815159, 640431.63239223 7428828.08113588, 642975.13446774 7428076.8673658, 644270.745067956 7427521.337889681)	7884	Fault or shear zone, major
LINESTRING (523139.74494814 7465417.97509713, 522581.81478483 7466023.54415245, 522177.56610561 7466499.0424154, 521647.7793439 7467241.05086821, 521128.73031684 7467746.57165341, 520260.12860242 7468305.0606463, 519200.3577101 7468781.53989683, 517689.90124455 7469426.52139742, 515659.91893915 7470481.04005641, 514835.46035922 7470963.0409818, 514691.37116261 7471004.07124259, 513637.73076819 7471841.54425928, 512509.7372952 7472687.50387293, 511975.4630899804 7473099.60237605)	7966	Fault or shear zone, major
