WKT	geopnt_id	dip	azimuth2
POINT (544642.29382006 7487591.03977592)	913	40	385.0
POINT (607086.80717191 7444727.55333863)	1091	30	150.0
POINT (531347.72580616 7465788.57995945)	1229	20	145.0
POINT (514501.77134005 7462805.18491735)	1328	28	350.0
POINT (514501.77134005 7462805.18491735)	1329	20	160.0
POINT (542483.22581806 7481908.32718671)	1380	60	365.0
POINT (545142.14967586 7476403.27956483)	1450	35	435.0
POINT (512987.22965869 7483071.05938987)	1518	15	320.0
POINT (516870.41187164 7459398.70542533)	1894	10	180.0
POINT (521593.61326286 7460779.79645565)	2046	34	360.0
POINT (518231.96272148 7469934.66618707)	2254	57	205.0
POINT (536427.17269077 7467198.62833944)	2268	40	180.0
POINT (544589.0465898 7474660.25852222)	2420	45	180.0
POINT (542937.75226114 7480363.89112035)	2928	65	385.0
POINT (530515.15279646 7485813.61808323)	3308	60	370.0
POINT (524447.06306093 7473231.44313835)	3419	25	250.0
POINT (535257.61161618 7499029.61466975)	4008	40	360.0
POINT (529653.28479411 7489335.50974713)	4020	33	380.0
POINT (550328.97737249 7459540.19560627)	4158	20	370.0
POINT (523494.03760025 7473291.61341755)	4526	20	240.0
POINT (572446.5726678401 7443668.53536537)	4867	15	410.0
POINT (534215.35909713 7482401.7956682)	4907	58	368.0
POINT (529903.08208156 7466947.21319796)	5396	25	195.0
POINT (569301.58760947 7438319.50962147)	5490	30	360.0
POINT (534647.3830305201 7483231.0647016)	5561	62	378.0
POINT (542798.44862517 7481931.79983939)	5881	60	388.0
POINT (586007.08310293 7444042.95628388)	6296	30	180.0
POINT (513483.16318941 7500796.4401854)	6395	55	320.0
POINT (565663.0372328199 7440535.74218601)	6434	10	210.0
POINT (528380.36803454 7442533.6957682)	6938	52	395.0
POINT (515281.62113721 7463464.19432896)	7068	35	385.0
POINT (522375.92916833 7459495.63879847)	7477	36	370.0
POINT (587666.43203325 7443747.68915541)	7662	70	180.0
